club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
105,sv-darmstadt-98,SV Darmstadt 98,L1,,24,25.9,9,37.5,1,Merck-Stadion am Böllenfalltor,17810,+€2.55m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
11127,ural-ekaterinburg,Ural Yekaterinburg,RU1,,29,27.1,11,37.9,4,Yekaterinburg Arena,23000,+€1.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ural-ekaterinburg/startseite/verein/11127
114,besiktas-istanbul,Besiktas JK,TR1,,38,25.5,19,50.0,14,Tüpraş Stadyumu,42445,€-17.15m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/besiktas-istanbul/startseite/verein/114
12,as-rom,AS Roma,IT1,,27,25.8,20,74.1,16,Olimpico di Roma,73261,€-72.10m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
148,tottenham-hotspur,Tottenham Hotspur,GB1,,29,24.9,20,69.0,19,Tottenham Hotspur Stadium,62850,€-39.45m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
157,kaa-gent,KAA Gent,BE1,,26,24.8,17,65.4,7,Planet Group Arena,20185,+€300k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kaa-gent/startseite/verein/157
1894,hvidovre-if,Hvidovre IF,DK1,,25,26.3,4,16.0,3,PRO VENTILATION Arena,12000,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/hvidovre-if/startseite/verein/1894
190,fc-kopenhagen,FC Copenhagen,DK1,,30,24.7,18,60.0,11,Parken,38065,+€14.04m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-kopenhagen/startseite/verein/190
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,,25,24.0,9,36.0,0,Parkstad Limburg Stadion,19979,+€1.30m,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/roda-jc-kerkrade/startseite/verein/192
19789,yeni-malatyaspor,Yeni Malatyaspor,TR1,,10,22.9,1,10.0,0,Yeni Malatya Stadyumu,25745,+€778k,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/yeni-malatyaspor/startseite/verein/19789
2079,veria-nps,Veria NPS,GR1,,29,24.3,4,13.8,0,Dimotiko Stadio Verias,6350,+-0,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/veria-nps/startseite/verein/2079
21957,ao-platanias,AO Platanias,GR1,,0,,0,,0,Dimotiko Gipedo Perivolia,3700,+-0,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/ao-platanias/startseite/verein/21957
2414,ac-horsens,AC Horsens,DK1,,19,25.1,9,47.4,4,Nordstern Arena Horsens,10400,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457
2578,st-johnstone-fc,St. Johnstone FC,SC1,,28,24.3,16,57.1,2,McDiarmid Park,10696,+-0,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/st-johnstone-fc/startseite/verein/2578
2727,oud-heverlee-leuven,Oud-Heverlee Leuven,BE1,,25,24.4,14,56.0,4,King Power at Den Dreef Stadion,9809,+€4.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/oud-heverlee-leuven/startseite/verein/2727
28643,waasland-beveren,SK Beveren,BE1,,27,26.8,16,59.3,3,Freethielstadion,13290,€-350k,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/waasland-beveren/startseite/verein/28643
2990,academica-coimbra,Académica Coimbra,PO1,,26,25.2,6,23.1,0,Estádio Cidade de Coimbra,29744,+€150k,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990
3057,standard-luttich,Standard Liège,BE1,,26,23.2,17,65.4,8,Maurice Dufrasne Stadion,27221,+€8.35m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/standard-luttich/startseite/verein/3057
3690,ska-khabarovsk,SKA Khabarovsk,RU1,,27,25.7,4,14.8,0,Lenin Stadion,15200,€-93k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/ska-khabarovsk/startseite/verein/3690
